timestamp,speaker,words,tags
,EC," Uh huh, through ’74, around there. Anyway, so you know, um, Chicano Studies had a pretty big struggle, you know, uh, again like I said I took a lot of minutes. Uh, I was for a little while, I think for a year or so, the part-time secretary, I think. ‘Cause under EOP you get a part-time job, for Chicano Studies. So I worked there and actually when I graduated from college in ’74, or ’73, I also got accepted into a Master’s program in, uh, an MPH program. Masters of Public Health at UCLA. And I also got accepted to, uh, a Master’s in Science and Counseling. And at that time I had my daughter who was one year old, and I decided instead of going to LA, staying here in San Diego and pursuing the counseling. And, uh, so, I mean, that’s why, I guess, I went into counseling is because I stayed in the area. But I was gonna say something else y se me fue la honda. ",
,MC," I think it’s a good place to think about the differences between the Chicano Movement and how it sort of played out in Los Angeles vis-a-vi chicanas and here. Because it seems like those were two— even though you’re probably at this time in pretty good communication, there’s probably a lot of movement back and forth. ",
,EC," Oh, yeah. ",
,MC," Um, with Los Angeles, but, in your memory, were there any differences that you could see with what chicanas were doing in a place like LA and what you guys were doing here in San Diego? ",
,EC," Well, they had Comisión Femenil conferences and we would go to that and then they had, uh, Hijas de Cuauhtémoc was more of a publication, I saw it, and it wasn’t so much— you know? But whenever we got a chance we would, you know, we would get together and we would talk. And, I think, at that time, we saw a lot more similarities and we, I think we picked up on each other’s similarities more so that we could continue building on that than the differences. Um, so I don’t remember seeing a whole lot of differences other than that we were in a different location and we had, uh, different types of situations but it was like, “Have you gone through this?” And some of it was, uh, philosophical, you know, ideas and stuff like that. But some of it was, how do you deal with situations? You know, how do you move from here to here, you know? With men or with the system, or, you know, whatever you were dealing with, you know? And I think that we didn’t have that much time to deal with the differences, that we dealt more with the similarities and how we could help each other, you know, so when we met with other people in other places we took advantage of the time in exchanging ideas and making the best of it, because we knew we weren’t gonna be together that long. Than, we didn’t have that much fighting or any of that stuff. Not like here. You know, when we were home, that was different and there were more philosophical kinds of, you know, differences that we were having because of the different places that different people were at. And we always had new people coming in, you know, so they were coming from a different background, a different setting, a different—. But I remember that in our organization, we had, um, we had Anglos that actually joined us. And we actually had, um, African Americans, we had, you know, so there were people that really identified with us. ",
,MC, With the Chicano Federation or MAYA or— ,
,EC, MEChA. ,
,MC, In MEChA. ,
,EC," More so in MEChA than— Chicano Federation was more in the community. So that was definitely, you know, chicanos, but there were a lot of people who supported it. You know, in San Diego, you know, city officials and stuff like that because they saw it. It was kinda like an organization, like, uh, the Chamber of Commerce. You know you have the Mexican Chamber of Commerce, well it was the Chicano Chamber of Commerce, really. You know? It was kinda like that, that dealt with issues that were happening in the community with chicano families. ",
,MC, Were there Brown Berets here in San Diego? I’m assuming—,
,EC," Oh, yeah, my husband was a Brown Beret. And when we, um, uh, tried to get the college to accept Chicano Studies as a department, not just, you know, a couple of classes under the Spanish department or whatever department they wanted to put us, but our own department, we had demonstrations and took over the administrative building and it was the Brown Berets that took over the building and they were there for, a couple of days, I guess, and were arrested. And, the same thing with the neighborhood house, which, um, I was in health, and so I was one of the first people that also had worked in the neighborhood house trying to get, uh, medical services into that community because they had no medical services. And, um, and we also took over the neighborhood house and turned it into a clinic. ",
,MC," Which is still operational, right? ",
,EC," Which is very much a clinic and provides medical and dental services to the community, yes. ",
,MC, Great. And what is the name of the clinic again? ,
,EC, It’s the Chicano Health Clinic. ,
,MC," I went, um, I went to eat with Sonya and Gale and Rita at a Mexican restaurant close to there. They drove me by there and we also went to Chicano Park, so even all of these community development projects are arriving with, really, the Brown Berets, and sort of, so— student—so, community actors and student agents kind of coming together and making these things happen, right? So the split between student activists and community activists was not really operational? Or was there a lot of overlap? There wasn’t a split, I guess, I guess that’s what I’m asking. ",
,EC," I’m sure some people think that there’s a split, you know, uh, but I think that a lot of the stuff happened because we came together and we tried to keep the splits within ourselves, you know, and minimize them as much as possible. Like I said, there was definitely, you know, a giant split between the nationalists and, you know, some people called themselves Marxists at that time. ",
,MC, Third-Worldists. ,
,EC," Or third world. And so there was definitely, you know, a split there. But, I think eventually there was an acceptance of each other because of the different places that people needed to be at. But, it took time. It took time to heal, you know, and to work it out, you know? And I guess that’s part of the struggle. You know? That’s part of growing up, you know, and understanding where people need to be. But it was exciting. It was exciting times and it was a lot of hard work. You know, because at the same time we were still going to school, you know, I remember my last year I think I carried something like 27 units, you know? Because I wanted to get it done. And my master’s program I wanted to get it done in one year and two summers. ",
,MC," So, were you able to accomplish that? Let’s talk about the master’s program because you were doing work in the community and that was-- you were making it work for your master's program? Was there that kind of flexibility?",
,EC," No, at that time I was basically concentrated on my master's. But, the year before that, I was teaching in Chicano Studies. I became a full professor and taught, um, some chicanas classes, uh, I think I taught two chicana classes and then I co-taught two history classes. ",
,MC, And that would've been '73?,
,,,
,,,
,EC, Yeah. ,
,MC, How did you teach a chicanas class?,
,EC," Well, I had-- ",
,MC, How did you get your materials?,
,EC," There were very few-- well, I had been collecting for a long time. Remember, all the study groups? You know, so I had all the third world stuff and we were doing study groups and-- ",
,[MIC GETS LOST], ,
,EC," You know, since we were asking to be a department, then they were asking for the professors to have degrees, you know? And just not anybody could come in and teach. Even though we had, you know, like José Villarino that taught the music class, and, you know, at that time he didn't have a degree. Or, we had people coming in and doing baile folklórico, you know? Things that, you know, you don't-- at that time degrees didn't exist in those subjects. Well, since I had graduated and I had one of the only Chicano Studies degrees, along with my, uh, health degree, because I mentioned that I was a double major, and they needed someone to teach that had the degree. So then that's when I went in and taught for a year. And this is the year right before I got into my master's program. And, uh, and so I did that. Um, but you know what? I did not find a shortage of materials. As a matter of fact, I had so much material, I did not have enough class for the material that I wanted to present because I had such a collection that I had been collecting for years. You know, women in political parties, you know, women in health, women in history, women in music, women in the arts. ",
,MC, And these are chicanas in particular? ,
,EC," Yes, yes. ",
,MC, And where did you-- you just collected these from meetings and conferences? ,
,EC," Yes, and from readings I had done, and, of course all the health classes. A lot of the health classes, you know, some of them presented stuff on women and I tried to take as many as I could of those classes so that I could bring those in, you know? The status of women's health not only in this country but in other countries. In third world countries, you know? And what were their life expectancy rates, what were the pregnancy rates, you know? At that time HIV, you know? Just all those different things. Um, so those, I mean, I did not have a shortage of material. I had so much material and I, you know, I didn't only bring in materials that had to do with chicanas but materials that had to do with third world women and white women, because some of the things white women were saying, you know, the, I remember talking about the image, the-- what was it called? The 6th avenue image that women had to have, you know, wearing high heels and the mini skirts, uh, The Second Sex, I think, talked about it. Where there was an image that women had to have to be successful in their careers, you know? And those were all missed, you know? And you didn't have to be like that, you know? And for us chicanas that was important, too. And, so for shortage of material, nunca. You know, as a matter of fact I had so much material that I did not have enough time to present it all. And, so, we always had extra group meetings or, you know, just to be able to cover everything that we wanted to cover, you know, 'cause there was so much there. And I think it's just, you know, it wasn't a narrow thing just on chicanas, you know, because you can't just be a chicana. You have to be a woman, you know? And then we were dealing with sex biases, too, you know? And that was another thing that we wanted to bring in, you know? So, you know, there was just a lot there. ",
,MC," Yeah, and you did that for a year? ",
,EC," I did that for a year and then got into my master's program. My master's program was a very good program because it was called the community-based block, so we were required to do community work and I volunteered in counseling in immigration. So I did some immigration counseling and, uh, it was, uh, half women half men. One third Latinos, chicanos, one third white, and one third black. So, we dealt with psychological issues dealing with people from other cultures. So, when we studied psychological theory, we wanted to also apply psychological theory that was being presented, you know, from the perspective of a Latino, from the perspective of an African American. You know, or a woman, or a Native American, you know? ",
,MC, So it was multicultural? ,
,EC," It was a multicultural program. So it just built on what I had already done and prepared me, you know, in ways that, you know, I'm really glad I was there 'cause it just gave me such a-- ",
,MC," Well, and it's a great example of the, you know, you were talking earlier about Third-Worldist or Marxist, Leninist, understandings of oppression versus nationalist understandings of oppression and it seems like that's a good example of stepping outside of your nationalist frame, you know, to try to understand. ",
,EC," Mhmm. And then I finished the program, uh, I think in August, and in June or July I had already been offered a contract by the Sweetwater School District. Before I even got my degree. ",
,MC, And that's here in uh-- ,
,EC," Yeah, right here in Chula Vista, in Sweetwater. And part of the reason was that they had no bilingual counselors. Uh, a lot of the counselors that were out there were Anglo counselors. They did not know how to speak Spanish, and they were having to deal with families and fathers like my own father that didn't want to let their daughters go to college. And, um, and they didn't know how to deal with it. Not only could they not talk to them, uh, to the families, they couldn't even, you know, understand some of the issues that, you know, some of the, um, minority kids were going through; or underrepresented. And, so, they hired me before I even got my degree and I started with them in '74 and retired about three years ago. So, I put in about 32 years. ",
,MC, With the same district? ,
,EC, With the same district. ,
,MC, Wow. ,
,EC," With the same district. And I started as a Title 1 Counselor and I did groups with Latino families in a middle school. Actually, three middle schools 'cause I was a district counselor. ",
,MC," So, what does a Title 1 Counselor do? What does ""Title 1” mean? ",
,EC," The Title 1 is for underrepresented students, students that are performing at least three years behind their grade level. So, they might be eighth graders but their reading and writing skills are at about the fifth, sixth grade level. So, you're trying to build their self-esteem, their family self-esteem, so that they can perform at a higher level. And, so, I did a lot of groups. Not only with students but I did groups with, um, the mothers, the fathers, the families, and from there I was hired at Sweetwater High School and I worked there for, um, what, 17 years? That was my longest stay.",
,MC," How many latinos did you have in that-- at, uh, Sweetwater High School?",
,EC," Uh, the majority. ",
,MC," Oh, so there wasa majority presence. ",
,EC," Oh, yeah, it was like 80%. ",
,MC, Which is why they hired you. ,
,EC," Yeah. When I started at that school, 10% of the kids were going to college. When I left that school. 90% were going to college. ",
,MC, Congratulations.,
,EC," I set up a scholarship program for them, we-- through MEChA we had scholarships. And I'm not talking about 100 dollars. I'm talking about 500 to 1,000 to 2,000 dollar scholarships. Uh, they were going to major universities"," Stanford, Harvard, Yale, you know? UCLA, USC. So we did real well. Then, from there, the district was gonna open a new school in Eastlake and I had gotten really involved with the College Board. I was on the board for the SAT, for the College Board, attended many conferences with them and did many workshops. I did workshops with a woman, Kati Haycock on working with counselors throughout the nation and she finally ended up going to Washington D.C. and working for the Children's Defense Fund. And heading that. Um, but did workshops with them, um, for counselors all over the place I was doing workshops on how to reach latino families and help latino children get into college and how to work with them. And I did a lot of extensive work with them and sat on their board for many years, and, so I had that connection. Plus, I did SAT and ACT testings on the weekends to try and get more kids to go to college. 'Cause you can't get 'em to go to college if they don't take their SAT, right? So, and PSAT and PLAN IT and all those. You know, so I ran all those programs. And, so, they were gonna open a new school in Eastlake and they asked me if I would go to that school. They hired the principal, I was the second person to be hired, and I wrote all the curriculum for that school and set up all the codes and did everything that needed to be done so that they could become accredited and legitimate. And, uh, I stayed there for ten years, did very well, set up a pretty, very good program, a well-known program, I was there for ten years. "
,MC, And that was also a Latino school? ,
,EC," No, that was not quite all latino. It was probably, uh, maybe 40% Latino and 20% Filipino and a small group of African Americans and whites. It was upper mobility. It was quite a bit different than, um, Sweetwater. Sweetwater, I would say, a good 70%, 70-80% were on the free lunch program. Whereas at Eastlake it was, uh, maybe 30%. ",
,MC," So, a little bit more diverse in terms of the student population, socio-economic level, um, and you said you developed a curriculum? ",
,EC," I developed their AP curriculum, their honors program, I was the head counselor and the scholarship counselor, the MEChA advisor, and I ran the folklórico program and I don't know how to dance folklórico. I put them together and we got the kids to teach each other and finally they decided, hey, you know this is a legitimate program and they hired a teacher in PE and they got folklórico and then I started the Mariachi Program there, too. So, I mean, you know, those were the things that I was doing, you know? I was part of MEChA, I wanted to build the kids-- and one of the interesting things in MEChA, and this is, I think, what I brought with me"," we had, in our mesa-- the way I ran MEChA, is we had a mesa directiva. We didn't have a president, okay? And there was 10 kids that were the mesa directiva. And each kid ran one meeting and they were responsible for setting up the agenda and making sure everything was gonna run smoothly. They ran the meeting, okay? And everybody had equal power in the mesa directiva, and nothing would go to MEChA unless there was majority. And in mesa directiva, the last-- it was all chicano kids, you know? And we would do MEChA conferences and we would have a MEChA conference one a year hosted by one of the schools in our district. We had a latina conference, the latina conferences we had for the young women, latino conferences for the young men, and then the MEChA conferences. So, we had several conferences. And then we had the, the MEChA conference at San Diego State and the MEChA conference at UCSD that we would take the kids to, so we had a lot of stuff. We'd do college trips, muchas cosas. And, um, and of course, and to make sure that we had Mexican-American Studies on our campus. "
,MC, At the high school level?,
,EC, At the high school level. ,
,MC," So, you had Mexican-American Studies?",
,EC," Oh, yes.",
,MC," And did you develop that curriculum? I mean, in the sense of, you were responsible for AP and honors, was--? ",
,EC," No, not necessarily, because we did have that many classes, you know, we had one or two classes, you know, that the kids took. But, what I wanted to say is that, um, MEChA became such a large group on campus. It was one of the biggest-- even at Eastlake. We would have 150 kids at our meetings. ",
,MC, Wow. ,
,EC," I mean, I-- we would have a Cinco de Mayo celebration where we would have señoritas, and I wasn't into the beauty queen thing or anything like that, you know, but we did it to raise money and we would raise five to ten thousand dollars. In one dance. Charging two, three dollars at the door. Uh, the girls would sell tickets for one dollar and that's how you got into the dance. The girl who sold the most tickets was the one that won. And it wasn't necessarily the prettiest girl. ",
,MC, Wow I love that. ,
,EC," And we brought in the families, they were escorted by their fathers, and presented with their families, and another thing that I did, too. It was-- oh God, what did we call it? It was like a-- it was for young girls. It was like a coming out party, like a dieciseis, like quinces, like having a quince, but it was at 16. There was this lady who had owned a bridal shop and she had all these gowns and she didn't know what to do with them. So, she decided to start this program, and, um, they invited me and they said, ""Do you want to be a part of it."" And, of course, I was working with girls. So I said, ""Sure!"" And we would have the girls go through a series of classes, you know, to learn about themselves, to learn about their status in society, to learn about, you know, how to dress appropriately, you know, we even had a hat and a tea party for them. We did, you know, little things to show them how to set a table, how to walk into a room, things like that, you know? And then we would have a debutante ball for them. And we would rent a big hotel and it didn't cost the girls anything. We would raise all the money, we had all the gowns already, and rather than having the families go through the expense of having the quinceañera, we would have a big ball. And they could invite so many people.",
,MC," A cotillion ball, or something like that. ",
,EC," Yes, and we would have, you know, 10, 15 girls presented every year and we that four or five years. ",
,MC, I think that's wonderful. ,
,EC," It was. I mean, it turned out really, really nice. ",
,TAPE 2C,,
,MC," But, you know, this is what's interesting to me, right, so some feminists would say, ""Well, you know, you're doing this presenting and this cotillion and this and that and,"" you know, I'm just-- what would your answer-- what does it do for them, um, in their mentalities, that experience? ",
,EC," I would tell these women that they're full of shit and that they don't know what they're talking about. Because if a young chicana or a young African American woman wants to make it in this society, they better as hell know how to enter a room and shake a hand, and sit at a formal table, and eat correctly. And if they can't do that, they're not gonna get any points. You know-- ",
,MC," But also, like, a kind of self-esteem. ",
,EC," Oh, yes. ",
,MC, I think that with the cotillion-- there is an African American tradition of the cotillion and there's the sweet 16-- ,
,EC, And also in the Latino community. ,
,MC, And the quince in the Latino community. ,
,EC, Yes. ,
,MC, But not everybody can afford to do that. ,
,EC," Exactly. And that's why we did this program. Because I knew that some of the families were not going to be able to afford this. But, what was more important wasn't the ball. What was more important were those classes, and if they didn't attend those classes, they weren't gonna go to the ball and wear that gown, you know? That had to mean something. You know, it's like rites of passage. But, anyway, what I wanted to say about MEChA-- that was just a side track-- and I can't think about, oh, gosh, what did we call that? Era un nombre mexicano. For the debutant, but I can't remember. ",
,"So, one of the things that was really interesting was how the students in MEChA evolved. Because they also went through-- they had to, you know, go through this nationalistic thing and, you know, ""I'm chicano and I speak Spanish and mariachi and folklórico,"" and you know, all this stuff. But to get them to the next level, you know, these are things that are in other cultures, you know? These are things that we have in similarity. So, what was really interesting and to me I think one of my biggest accomplishments that I felt working with MEChA is that they accepted other people coming into our mesa directiva. And they wanted to be part of our group. 'Cause some of the girls were going out with, you know, Anglo guys, and some of the guys were going out with African American girls, and so we started having, in our mesa directiva, Filipinos, African Americans, and Anglo. And since we were one of the largest and most visible clubs on campus, you know, 'cause we had so many activities, and we were very consistent with our meetings, and everything was run by the students, it wasn't run by me. You know, or, you know, 'cause I always had co-advisors. I always had people that wanted to work with me, you know, they'd say, ""Well, can I help you with MEChA?"" And usually there were three or four of us and they wanted to be part of this organization. ",,
,"And the other thing is, that caused a lot of ruckus in our district but eventually, you know, we had board support, is that when students in MEChA-- because they had to do community service, too. They had to go out and do community projects and volunteer, or do other activities, you know? Because as a club we did some activities and, you know, as individuals they did activities. And, so, um I wanted the kids to be recognized, when they graduated, as being a MeChista. And, so, we had set up sashes, okay? And, so, if you were in the club for-- because you had to pay very little, it was like ten bucks or something like that to belong to the club and fill out the application and go through an interview, and you know, just do different things. But all that was a process of preparing them for a job or preparing them for something else. And, um, so once they got into the club and they attended so many meetings and did so many hours of community service-- and mesa directiva was the one that was kinda keeping tabs on all this. And they each had, each mesa member had ten members that they had to be in contact with. You know, letting them know what was going on and meetings and activities and so forth. So, they had other duties, too, you know? And when we would do fundraisers or whatever, community services, they would each volunteer for different things. ",,
,"And, so, um what was really neat was to see them be accepting of other people from different ethnic backgrounds, actually join the mesa part. Not necessarily as members, 'cause we had members, but being part of that decision-making group. And, you know, after about two or three years, 'cause I did MEChA at Eastlake for about ten years, after about the third year we started having different people coming in. And it just made us better. You know, and they saw that. It was really neat. And then, after that, I moved to San Ysidro 'cause they were gonna open another school. And in San Ysidro, that was 90% mexicanos, I mean, because it was right next to the border. 90% free lunch, you know? And I did MEChA there too. I was, uh, also the second person hired, opened up the school, wrote the curriculum, did all the same things that I had done over at the other school, and they knew that I had done it there, so that's why they asked me to go to the other school to open it up. And, uh, and usually, you know, when you open a school the first year, you're in an office, basically doing all the paperwork and getting everything ready for accreditation and all that stuff. And it's not until the second year that you're there that you actually start, you know, with students and you usually start with two grades, you know, like with ninth and tenth and then you add one grade every year after that and so forth. ",,
,"So, I was there for five years, head counselor, scholarship counselor, MEChA advisor, um, I had a latino principal there that was fantastic, so in terms of a mariachi and folklórico program that was already gonna be there, you know? And I had already built a reputation in our district and they already had mariachi programs throughout the schools and when I was at Eastlake it was just beginning, the folklórico and the mariachi. So, it was a little harder there. You know, the band teacher hated me because I wanted mariachi, but you know. Anyway, so I was there for five years, and again, same thing. I built up the MEChA program, um, by the last year or so a little more diversity in the mesa and really had really good time just working with the kids and seeing their development, you know, kinda going through what I went through when I first went to college but they were doing it in high school. And that was kind of really neat to see them getting to know who they were as women, you know, or getting to know who they were as men, you know? And they weren't-- they didn't need to be these cholo guys, you know? And it was really neat to see that. And to see them apply to a university and get accepted and then you know, six years down the line, ten years down the line, you know, they're getting their law degrees or medical degrees or they're engineers or they're lawyers or whatever they are, you know? But, having successful lives and not having to live day by day, you know? Social security or, you know, eat only when they come to school, that kind of stuff, you know? ",,
,,,
,,,
,MC," Well, I mean, that's what I wanted to ask you because it seems like your career as a counselor and as someone involved with youth seems like is really influenced by what you learned from the movement. ",
,,,
,,,
,EC," Oh, yeah, everything. ",
,MC," I just, you know, I don't know if you want to add to that at all, but what did you learn as a person in college, right, and thereafter who was in the Chicano Movement, a chicana, how did your career as an educator and a counselor reflect that? What values--? ",
,EC," Yeah, well I think my college experience empowered me to be me and not have to, you know, be anything else and to speak up, and to say what I feel. And to this day, you know, I say what I feel and what I think, and some people don't like it. You know, I'm not gonna, I'm not a put-on, you know, and I never have been. And I don't kiss butt. You know, and I say it how I see it, you know? To me it's important to be human, you know, and treat other people like I want to be treated. ",
,MC," And what do you, you mentioned at the end that you felt like these are high school kids that you're exposing to the same kinds of feelings and pedagogies that you were exposed to in college, you know, which kind of gets them on the roller a little bit faster, I guess. What is at the core of that, do you think? I mean, self-esteem, or understanding their histories? ",
,EC," Oh, yes, all that is very important. Self confidence, being able to get up in front of a group and speak and not be afraid. And that's what it was so important for those kids to run those meetings. ""Oh, I can't do it I can't do it!"" ""Oh, yes you can."" I said, ""You write down what you're gonna say and if you need to practice come in my office and we'll practice."" I said, ""But you're running the meeting. I’m not running the meeting. I'm not even coming in until half-way through 'cause I've got something else to do. You are running the meeting. You are going to control what's going on in that room."" And it was scary for them, you know, a high school student to do that with 100 kids (laughs). But I would tell the other mesas, ""Don't sit with your friends. You need to separate yourselves around."" You know, ""So that you can help control, too."" ",
,MC, And those are the skills that you really didn't -- ,
,EC," And the think is, also, you know, you-- I never-- even with parents, I never like having meetings that-- I never like having meetings that had no purpose. You know, that because it's, you know, Title 1 says you have to have twelve meetings a year or whatever, you know? And so you're gonna have a meeting and you're just gonna cover whatever? Uh uh. I felt that, I always felt that if you're gonna have a meeting it's because you're gonna give people information they can use to become a better person, you know, and empower them. And same thing with the students. If you're gonna have a MEChA meeting, just to have a MEChA meeting, para qué? Let's just not have one. ",
,MC, Yeah. I hate meetings. ,
,EC, Yeah. I like meetings when they're interesting. ,
,MC, Right. ,
,EC," And you're gonna learn something and you're gonna take something from them. So I always had speakers. I would have, like Chunky came one time and he played his music and talked about the history of the music. I would have professors of Chicano Studies at San Diego State come in and do like a thirty minute presentation, because we didn't have very much. It was a lunch meeting. And sometimes we would have meetings after school because we wanted more time with each other to do what we needed to do, you know, so we had a speaker that we wanted to listen to longer, you know? I remember having women come in a speak to the whole group, you know, about women's issues, because they guys needed to hear it, too, you know? So it was just-- you know, I'd have people that had been in the Vietnam War come in and talk about their experience in that, so, you know, it wasn't just about me or about what was going on in school, but giving them information about, ""Hey, what's going on out there?"" You know, what are some of the issues, you know, and if they head about an issue on TV and wanted to know more about it, ""Okay, let's call. Let's call the mayor and invite him to come in."" I mean, and we had publishers come in, um, and of course with Gus working at San Diego State at the time, 'cause he was the director of EOP and he was in charge of ethnic studies, you know, he would come in contact with a lot of people that he was gonna have speaking at the university. And he says, ""You want them to come down and speak with your kids?"" ""Sure!"" ",
,"You know, so I had, you know, uh, directors of movies, uh, actores, I think we had James Olmos come in and speak on time. I mean, so we had good speakers and sometimes because the speakers were gonna take time, they would allow me to keep them extra, you know, 'cause they knew-- and then I would open it up to anybody that wanted to come and, you know, so MEChA was doing these kinds of things. And, so, you know, other people wanted to be part of it, you know? And they would bring their class, ""Can I bring my class?"" You know, and, so, and it was exciting. It was exciting because it wasn't boring, you know, you were actually gonna be learning something, you know? So I was always trying to do things like that that they were contemporary and they were gonna keep the kids engaged and excited, you know? And, you know, it worked. ",,
,"So, my last four years I worked at the district. They moved me to the district and I was in charge of all the counselors in the district. We had about 250, 300 counselors and I did their inservice and I did, um, basically what I was doing for the MEChA kids I was doing for counselors now. And, you know, providing them with the tools they needed to be more effective counselors and reach more families. And then I retired. So that was a lot (laughs). ",,
,MC," Well, can I ask two follow-up questions? Do I have time? I have nine minutes? Is that enough? I think so. Is that okay? ",
,EC,  Yeah. ,
,MC," Okay. So, um, this isn't exactly a segway, but it is a little bit. You said that in 1970, right after you had gotten married, you went to Crystal City. ",
,EC," Yes. I was there for a summer. Six weeks, I believe, doing work with the Raza Unida Party. ",
,MC," What drew you there? How did you get pulled into that, and what were you doing there? ",
,EC," Well, I had taken a Chicano Studies class with René Nuñez and he said that he was going to be taking a group of students down there and who wanted to go and I volunteered and I wanted to learn more about la Raza Unida Party. And I was all into it. We walked precincts and met with board members and it was hot and going at that time over there. I mean, there was a lot of stuff happening and it opened my eyes to a lot of things. I think they were ahead of themselves, at least by ten to fifteen years, in terms of what was going on in the educational system. Um, and in politics, you know, and representation for latinos. So, it was really exciting and I got to walk the streets and campaign and see, you know, campaigns born and elected. ",
,MC," And did you, um, so were you there to look at the political party or were you there to look at the educational transformations? ",
,EC," Both. 'Cause I was really interested in bilingual education as well, you know, what was going on in terms of the education of students. So I took advantage of doing both of them. ",
,MC, But you were married. ,
,EC," Yeah, I was married. ",
,MC, And did your husband come with you? ,
,EC, No. ,
,MC," How did he feel? Um, how long after this was the three day walkout? ",
,EC, (Laughs) No that was early in our marriage. And we got married in '69. ,
,MC, Okay so this is a year after your three-day walkout. ,
,EC," Yeah, oh yeah, and he knew that I was really involved and committed to what I was doing, so, you know, he supported me. ",
,MC, Six weeks is a long time. ,
,EC," Yeah, also with CHE, was a lot of commitment, too, you know? And he supported me. He was working, I was going to school and doing all this stuff, so. You know, I didn't have a baby at that time, but--. ",
,MC," And the other question I wanted to ask you is about the Houston conference because this conference has been written about now, so now it's become kind of this touchstone, um, and this is the first National Chicana Conference in Houston, Texas. And I was just wondering, first, how you found out about it. Second, how you got there, because that was quite a logistical undertaking, I'm sure. It was not with a class so I'm sure it was a little bit different. And, third, what was your experience at that conference? ",
,EC," Well, the conference was, uh, we found out about it through the networking that we had with the women in LA and the Bay Area and when we found out about it, you know, of course we wanted to go. And, uh, somehow we managed to get enough money to rent one of those big, long busses, and I think about fifteen of us went in one of those big busses. And I think a couple other people went in a couple cars. It was a pretty good group from San Diego. I'd say probably about twenty of us. And, um, I don't remember too much. I think some of us might have even slept in the van and, uh, at the conference I remember there were a lot of women, a lot of white women. ",
,MC, White women? At the national conference? At the Women's National Conference or the chicana one?,
,MC," The chicana one. Wait, you went to the Women's conference? ",
,EC, Yeah. ,
,MC, Oh my gosh. ,
,EC," The National Women's Conference. And that conference, I don't know why but I remember all these white women with big hats. ",
,MC," Okay. Wait a minute. I didn't know you went to this. So, do you have to-- are you in a hurry? Or can you talk about that for a little bit? ",
,EC, It was weird. ,
,[TAPE CHANGE],,
,MC," So, you were just telling me about '71 and renting a van to go to-- ",
,EC," Okay, which one? ",
,MC," Both. '71 is the National Chicana Conference. And I know there was a regional conference in California to prepare for the National Conference and that was in, I think, Los Angeles. ",
,EC, It was in LA. ,
,MC," Did you go to that, too? ",
,EC, Yes. ,
,MC, Do you remember anything about that process? ,
,EC," You know what, that conference I don't remember too much. Um, other than you know we were dealing with women's issues, basically. ",
,MC, And did you have a baby by then? '71? ,
,EC, No. I had my baby in '74. ,
,MC," Oh, okay so then you had the flexibility and you were still in school. ",
,EC, Yes. ,
,MC," And, so, you said-- did you go with a group of chicanos from San Diego to Houston to the '71 conference? ",
,EC," Yes, we rented a van and, uh, we went to the conference and attended workshops-- ",
,MC," It wasn't the first time you had been out of the state, right? 'Cause you had been to Texas? ",
,EC," No, I had already-- and to the, uh, Denver Youth Conference, yeah. So we had done several conferences. ",
,MC," And, do you have any memories of the '71 National Chicana Conference? ",
,EC," Um, I remember us walking out, uh, and there was some disagreement-- do you know what, I can't even remember what the disagreement was about. But I remember that Felicitas went and Silvia Romero Chiva, uh, Vivian went to that conference. I'm trying to think who else went. Um, it was the main core group. I'm not sure if Maria Sanchez went or the Rascón girls, but, uh, there was about fifteen of us and there were women from the Bay Area and women from LA and then us from San Diego, and then there were women from Texas, and, the women from Texas were real tapadas. They were. They weren't where the California women were. And they-- why are you laughing (Laughs)? ",
,MC," Well, I'll tell you, here's the thing"," we've talked to different women who have attended this conference and, um-- "
,EC," They thought we were radical, huh? ",
,MC," So, you know, what we've heard from other women is that there remain some main issues that people had disagreements over. One was, who was running the conference, that it was at the YWCA, um, the other was the food, hot dogs. There was some problem with the hot dogs. It wasn't chicano food. And that it wasn't in the chicano-- it was in a chicano barrio but that there weren't enough barrio women being represented. ",
,EC, Uh huh. ,
,MC," But the other thing that came out in some of the interviews was the suspicion that the nationalist chicanas from LA had been sent as disruptors. I don't know if you remember anything about this or some of the tensions that arose, or why or that?",
,EC," I just remember a lot of chaos and, uh, people disagreeing with each other and us leaving. You know, and I didn't really participate much and I don't think we were there that long either. And I think it did have to do with control. Who had control in the logistics. Like, it was, you know, something that somebody higher up was doing for their own purpose kind of thing, so. ",
,MC, Something you said that was very interesting was these regional differences also kind of seemed to play out. Like you had a certain impression of the Texas women. ,
,EC," Oh, gosh. ",
,MC, Tell me!,
,EC," The Texas women were so tapadas at that time and not so much more now, but, and the women from New Mexico eran españolas. You know? ""Nosotras somos españolas, no somos mexicanas."" You know, so there were differences, you know, and you just noticed it,  you know? And when you took the time to go to a conference, anyway, I did, when I took time to go to a conference I took time so that I could learn. And I could be, you know, empowered with information that I could bring back to, you know, to implement, to put into practice, you know? And this conference was a real dud and I think that we kind of felt like, ""What are we doing here? Let's just go back."" ",
,MC," And, I guess, taking away from it, because a lot of people put different significance on that conference, like it was almost like this one opportunity for chicanas to do sort of like what MEChA had done which was to consolidate a national movement. And, so, what did you, I mean, did you feel, coming out of that, I mean, it probably didn't register that much on you. It sounds like it didn't. ",
