timestamp,speaker,words,tags,
,R," Oh, you’re welcome. ",,
,I, So you were also talking about—.,,
,R," Thank you, mamá. (Laughs).",,
,I," (Laughs) You were also talking about, um, this experience that you had with this counselor—R"," Oh, yeah. I"," That not only discouraged you from going to college because of your, um, financial situation and maybe because of your race, um—."
,R, Yes. ,,
,I," And, um, her switching you into secretarial—. ",,
,R, Yes. ,,
,I," The secretarial, I guess it would be called the vocational education track for girls. ",,
,R," Yeah. You could call it that. It says “secretarial” but what it’s saying is that women, like me anyway, women like me couldn’t go to college and that somehow we couldn’t get an education. And, so, I remember that— those courses. And I couldn’t handle ‘em because they were sort of machine courses. You’re typing, you were taking shorthand, and that sort of thing. And then they had— your English wasn’t reading literature. It was bus— called business English. So I was pretty sad about that. I graduated, but I never stopped what I was doing in choir. Which was very enriching, by the way, because we sang with an amazing German master, choir master. And we traveled all over singing. And, uh, we won awards. And he— we won like number one in San Bernardino High School. His name was, uh, Dutch Hauschildt (4",18 ??). ,
,"Anyway, um, and then journalism, um, I had the journalism professor who constantly said, “You can do it. You can go to college.” I said, “Are you sure? No one in my family has ever gone before.” And he pushed us. And we won awards. And so I got to be in competition for a journalism scholarship. And I thought, “Oh my gosh.” And it was because of him. Because of the professor, the teacher at San Bernardino high school. And he was a new teacher because he wasn’t the same teacher my sister had. And I was actually gonna drop out ‘cause I said, “Well, you’re not Mr. Jones! Mr. Jones was my sister’s teacher.” And he said, “Well, yeah but I can— we’re gonna do a lot of good things in here.” And I said, “No, I’m just gonna drop.” And he talked me out of dropping it. So I didn’t drop. ",,,
,"Thats a— everything’s by some little milagro that I’m here today (laughs). But, so I stayed there and, um, in journalism and he got me, encouraged me, and then he selected me to be the writer for the contest and then I did win. It was called the Winifred Martin Journalism Award. And so I won the scholarship and they—when everybody was given scholarship money at the end of the year I used to watch them go up and collect scholarships for college. But I never could understand why I— how did they do it? How did you get in that select group? ‘Cause I knew I got good grades in high school, but why was I not in that group? And he, this journalism professor was responsible for making sure that a lot of the Mexican American kids got recognized and—.",,,
,I, Why do you think that is?,,
,R," Uh, I don’t think it's a good reason, though. I think he was attracted to the young Chicanas, Mexicana girls. So, I’m sorry to say that. It’s really sad. But I didn’t know very mu— I was a very naive person. But as I got older I started thinking about it. And, uh, sexism was alive and well in those days but he helped a lot of us girls get— he paid attention to us, basically. And so, I wasn’t really abused or anything. ",,
,I , So you were about to tell us about this scholarship that you won and about how you got to college after all of this. ,,
,R," Yes. Well, I attribute it to people that were there in my life, as I said before. For whatever reason there were people in my life and I had girlfriend that was, uh, Jewish and she was gonna go to college and she was freely with, uh, diversity. She wasn’t just with the rich white kids that were at San Bernardino High School because that’s what San Bernardino High School was. Its a very class-divided, very, very wealthy and then the poor people there too. So the class divisions are really really strong in San Bernardino. And so there’s kind of this aspiring. Wanting to aspire, ‘cause you know you’re good and how come I’m not there type of thing and that’s good ‘cause you’re so, “What’s going on here? Why am I not there as well?” ",,
,"And so the journalism was the, the driving force. And it wasn’t just the journalism teacher. He was only a little part of it. But it was the people that were also the journalist. So my friend, Judy, Judy Daniels, she’s uh, she was Jewish. She was part Jewish, I’m sure. She was Catholic and Jewish, that’s all I remember about her (laughs). Uh, and she, uh, said you know, “We’re going to college. Forget all those rich kids whose parents can afford it. We can’t afford it but we can still go.” And so she pushed it. ",,,
,"Well, we got the applications, we started filling them out. But we thought we were gonna be world-famous journalists. We were kids and we thought— and we could’ve probably! But what happened was we started filling out the applications and, um, one day she— and my father liked her, too. He liked Judy. She was a really good friend of mine. And so she came over to the house and she said, “My friend—” it’s a guy— “my friend is going to San Francisco.” And he said that he would give us a ride to the college and we could look at it. And I said, “My father is never gonna let me go.” He did not let my sister go to Girls State. He wasn’t gonna let my sister go to Sacramento. But a teacher came to the house and talked him into it and then she was able to go. ",,,
,"Well, that’s what happened. Judy came, the friend came, they talked about, um, he could drive us to the college and leave us off there. Um, he could go do the business that he needed to do and then pick us up and drive us back. And my father said, “Yes.” (Laughs) So, another milagro, right? So, we drove to— I remember driving through Pismo Beach and seeing how beautiful that was. That’s one of the memories I have. We went to the college and we looked around and we found a place to live at a house that had a room with twin beds and we found it where we were gonna live and everything. And, uh, oh my gosh. So we start saving for college. We apply and we get accepted to college. And I’m a journalism major at San Jose State now, as a freshman. And so is Judy. And so we got jobs working for the telephone company in the summer and, uh, I was saving every penny because I’m living at home, of course. And so is Judy. But Judy is coming dressed to the teeth with these fabulous clothes! And I’m going, “Judy, how did you afford that and save?” And she said, “Oh, I’m saving.” ",,,
,"Well one day her little checkbook, or little—we used to have these little bank books— fell out of her purse. And I saw it fall and I went, “Oh” and I looked at it and she had saved twenty-five dollars. And I said, “Twenty-five dollars? I’ve saved five hundred dollars!” So I said, “Judy, what is up with this?” And she said, “Well, I’m still going, I’m still going. I can still save enough to go.” And I said, “Judy, you’re not saving. You have to start saving.” Well, a week before, “Judy, are you going?” ‘Cause I couldn’t go by myself. ",,,
,"She’s not going. She backed out. I was going to college by myself. My girlfriend was no longer going. And I knew my father was gonna say no. So my sisters started working on my father. And they started saying, “Well, you know, Judy’s backing out of going to school now, and so, I could go with Rita, get her settled there, and come back.” And they talked my father into it. And so, I didn’t have a way to go, a ride, to go, I didn’t have anything. So I started calling old friends of mine. Girlfriends and guys that I knew from high school to see if I could get a ride up ‘cause they were going to a college up north or something to get a ride with them. But they weren’t calling me back. So I would just call and call and call. Talk to their parents and say, “Could you have my friend call me back?” And nobody was calling me back. ",,,
,"So I just decided— I wasn’t gonna do it. I was too scared. I wasn’t gonna go. And I get a letter from my journalism teacher in the mail about a week before I was going away and it says, “We are so proud of you. You are gonna do really well. You’re gonna do so great.” And… I thought, “I can’t let them down.” That’s why I went. I was too embarrassed to let them down (laughs). So my sister agreed to go with me on the bus and I remember the day we left. We said goodbye to my sisters, I was crying my eyes out, and we— we had to go to mass ‘cause it was Sunday. You can’t miss mass. It was one of the things that my girlfriends used to tease me about, “Did you know that Rita’s never missed mass in her whole life?” And so (laughs), and so we went to— they had a five o’clock mass at Our Lady of Guadalupe in San Bernardino. ",,,
,"So we walked in the dark to Our Lady of Guadalupe, went to mass, got on the bus and we drove— my sister drove me. My sister and I went together. My older sister, Mary, who should have been the one that got her college degree. She actually went to community college, San Bernardino Valley College and she was the editor of the, uh, San Bernardino Valley College Journal, um, annual. And she graduated with honors and everything but she got a job as a reporter at the San Bernardino Sun Telegram. So no slouch there.",,,
," So, uh, she encouraged me.  I had to take the tests— the English “A” Tests. And she said, “If you pass it I’ll buy you some argyle socks.” ‘Cause that was the fashion (laughing) those days"," bermuda shorts and argyle socks! So, anyway, that’s how I got to college. And, so, I was alone in that room. There were twin beds but I was alone. I lived with this family and I walked to— we were stupid. I got a place too far away from San Jose State and had to walk several blocks to college but that’s where I lived while I went. And, uh—.",,
,I, What did you major in?,,
,R, Journalism.,,
,I, Mmhmm. ,,
,R," I was a journalism major, yeah. So. ",,
,I, And how long were you there? This must have been in ’57? ,,
,R, That’s the crucial question.,,
,I, (Laughs.),,
,R," And it also has to do with women. And Chicanas. Because I was raised to— my sis— my older sister got married and it was really one of the most beautiful memories I have of watching my sister get ready for her wedding. And she has eight beautiful children and she had a beautiful husband. And she got married. My next sister, Terry, married Robert Ibarra. Teresa married Robert Ibarra. They’ve been married for sixty years tomorrow, August 9th. Or, in a couple of days they’ll be married for sixty years. They met in high school. So that’s what it was about. And so when I was in college I met a boy and he liked me and, uh, you just thought you were an adult and you were ready for the world. And, so, he proposed to me and I was a freshman in college and I go home and tell my parents, “I’m engaged!” And they’re like, “What?” ",,
,"And I told my sisters, “Well, mom and pop didn’t seem too upset when I told them I was engaged.” Well, the other guys who married my older sisters, they had to go to my dad to ask for their hand in marriage. And it was really a scary moment. But I come in there, out of line, ‘cause my older sister hadn’t gotten married yet, and say, “I’m engaged!” And oh my gosh. I got married when I was— I was nineteen then. And I got married the following semester when I was twenty. And I put my husband through school and stopped going. And he got his bachelor’s degree in business and I put him through Law School and he got his, his, uh, Doctor of Jurisprudence and, uh, passed the bar and ten years later we were divorced. So, that’s that story. ",,,
,I," And this is all happening— so, if I’m doing the calculations right, you know, this marriage, um, this process, is going on in the late fifties and early 1960s. There’s a lot going on at that time. ",,
,R, Mmhmm. ,,
,I," And I’m, I’m, I take it you’re possibly raising children. And what was your— you’re still in San Jose?",,
,R," Yes. And, so, he was accepted to— I must say, I’m not going to say that he did this to me or anything. What I’m saying happened is, once he graduated from college and we had Lisa, my oldest daughter, and, uh, then five years later in 1962 we had, uh, Teana. I named her Lauri. So I wanted Lisa and Lauri and she wasn’t having it. She changed her name when she became an adult. She changed it to “Teana.” Anyway, those are my two older daughters. But, yeah, there was a lot happening politically. And I was working full time and taking care of babies. And I was at home a lot alone. ",,
,"And he was studying and who knows what else. And he was doing, uh, whatever he needed to do to get ahead in the law world. I really shouldn’t have said that. Because I was a very immature person and I didn’t come to terms with that until about a few years ago when I found myself in another broken marriage. I, I was a very immature person. I was a girl getting married. And silly coming home to my parents. The nerve telling them, after all they did for me to help me get to college, and tell them I was engaged. ",,,
,"And then when my father found out that I was working while my husband was going to college he was in shock. He couldn’t believe it. And he couldn’t believe that a man would do that to a young girl and allow her to work full time. But as I said, I was a very immature person and I wanted him to go to college and I thought it would be better for our family. And I encouraged him to go to college. And I— I think I even helped fill out the papers for him to go to college and try to find him scholarships and that sort of thing. And, uh, I noticed he wasn’t filling out the papers and I said, “Uh, aren’t you going to fill out the papers for college? The application?” And he said, “Well, you know, I don’t think this— how are we gonna do this?” And I said, “Well, I don’t get it, what do you mean?” (Laughs) Being immature can have its advantages I guess. But he, uh, graduated from Hastings High School and I lived in San Francisco. I guess you might say that was the loneliest time in my life. Because I was home— I was working, I was home, I was taking care of kids, and I was basically alone at night ‘cause he was studying all the time. And, so, a lot of times he was studying with his friends. ",,,
,"And he was also working part-time in the financial district in San Francisco and he was hanging out with his friends, too. So it was pretty lonely but the way that I reconciled it was he would say, “Well, this is what you agreed to do. Take care of the children. And you agreed to work. And I’m doing this work and together we’ll move forward when I get my law degree.” But it didn’t go that romantically. And, uh, I remember joining the Law Wives Club and the lawyer— they invited a lawyer to come and talk to us or a judge or something and he said, “Well the first thing I want to tell you is the law is a jealous mistress.” And, so, that was the mentality I was in. So. ",,,
,I," Right, so this was—.",,
,R," Immature, unconscious, lost. So. Yeah. ",,
,I," So, how did you get found? ",,
,R," Divorce. I found myself divorced. Yeah. He wanted a divorce. So, he— we had come to this point and he now wanted a divorce. And I was just crushed ‘cause this was like my freshman, my high school boyfriend, basically. My first love. And we had these two beautiful daughters together who I’d given birth to and, yeah, so, he wanted to, to be free and he wanted to move on and do, do other things so that’s what he did. So. And my sisters had to watch me kind of break down. And I think that’s when I had to wake up and do something. I didn’t know what to do but, um, a friend, uh, his brother’s— my sister-in-law, his brother’s wife kind of took me in and said, “Look, you have a life! You’re still in your twenties.” And so, I sa— I thought my life was over. I thought was just gonna die. So, yeah.",,
,I, What year was this? ,,
,R,1968,,
,I," Oh, wow. That’s a big year! A lot is going on in that year. ",,
,R," Oh my gosh, and when I tried to talk— and I remember now talking to him about it and telling him about what was going on in the Black Civil Rights Movement, seeing it on the news and everything. And I’d say,  “But, no, no, we have to do something.” And he’d say, “No, because you—” he said, “you can’t legislate— you can’t change laws except by legislating them.” You can’t go into the streets to legislate morality. That was his thinking. And I said, “No.” And I knew I was right at that time in my life as a young woman that had only had one year of college (laughs). I knew I was right and so that— and it was something my mother taught me, I think. I know. I know it was what my parents taught me. “No, this is not right. You have to do something for others.” You can’t— and waiting to legislate morality when the law is unjust. Is— there’s no justice there. So, yeah. ",,
,I,  Sixty-eight. Sixty-eight in San Francisco? ,,
,R," Yeah, yeah. ",,
,I, I’m just thinking. ,,
,R, Oh we went through the whole Beat Movement and everything.,,
,I, (Laughs) Right? ,,
,R, I went— I’ve heard all the beat poets in all the San Francisco bars—.,,
,I, And you went with him? ,,
,R," Yeah! Because at that time it was cool to do. You know, to go out to dinner and to go hear the beat poets and that sort of—.",,
,I, So were you guys kind of bohemian? ,,
,R," No. No. It was all happening as an observation, you know?",,
,I, Mmhmm. ,,
,R," And you’re, you’re going to watch it and saying— ‘cause when you’re reading about it it’s different when you’re in it. It’s just like a phenomenon that’s occurring at the moment in time and so you’re looking at it and saying, “I wonder why these people are doing this? What does it all mean?” You know, um, Jack Kerouac, or my jazz favorite was Chet Baker (laughs). ",,
,I," Well, San Francisco is a big jazz central. ",,
,R, Yeah. ,,
,I, We talked to Dorinda Moreno and found out such interesting things about her wild life in San Francisco. ‘Cause at this point she’d already owned a beauty parlor—.,,
,R, Oh!,,
,I," She had been a jazz groupie, she’d done a lot!",,
,R," Oh my gosh! Dorinda, I’ll tell you, when I get to college Dorinda was my next, uh, mentor besides Antonia, was Dorinda. ",,
,I," Oh, so well let’s talk about that! So you, it’s 1968—.",,
,R," Yeah, um, I’m divorced. ",,
,I," So you’re divorced, it’s 1968, a lot of things are going on, all of a sudden you’re a free woman, I guess, and, and what? So, for you— after you get over that depression, what’s going on?",,
,R," Yeah, I remember part of the break-up a little bit, and what just flashed, and I have to say it— was, they used to have these bars where they had dancing. I can’t remember what it was called but, uh, I remember a woman in a cage looking up. Oh its called Go-Go Dancing. ",,
,I, Go-Go Dancing. ,,
,R," And he would bring his lawyer friends and I would be there with his lawyer friends and we’d be in a group watching these things going on and I was starting to feel really disconnected. I think its called alienation. I started feeling really, really disconnected. And what happened is when he wouldn’t come home in the evenings is when it was really, really hard for me ‘cause I was lonely. That’s the word that I most— if you don’t have a group of women around you— and you’re not supposed to. You’re supposed to be taking care of yourself. That’s how I was raised. I mean, that’s how women did it in those days. And you didn’t have any— you, you were by yourself, so, yeah. ",,
,"I’ll think of what I was gonna say in a minute. Its just…isolating is the word. ‘Cause you’re at home alone. Women are home alone taking care of babies in a household with no communication with anyone. Its maddening. I mean it’s really, it’s maddening. ",,,
,I," You know who talked about this is Betty Friedan, The Happy Housewife.",,
,R, I read that book. I read it.,,
,I, You read that book?,,
,I," I did. I was shocked. I read it about the time I was married. I was also reading literature, don’t forget. ‘Cause I loved reading books. And that was shocking to him as well because he said, “Well, what are you doing?” ‘Cause I was losing the little girl and I was starting to read books. And when I talked to him about it he was very unhappy about that ‘cause now I was changing. I was becoming a different person. And I thought that was bad ‘cause he was telling me, “Look, you’re not the same person. What happened to the sweet little girl I married?” You know? And then I’d think I was supposed to go back to the sweet little girl that he married. So it was really starting to be painful. Because he wasn’t home he would say, “Well, you’re supposed to be taking care of the home. I’m working in the law offices of Baccigalupi, Acas and Salinger on 333 Montgomery Street in San Francisco (laughing) and you’re supposed to be taking care of the children.” But it was so isolating. I, I’m, I think I’m just figuring it out as we speak. ",,
,"I was starting to lose my mind, getting very troubled. I didn’t understand anything anymore and why— what was happening to me. Uh, I started thinking I better take a course or two and go back to school. So I took, um, Spanish first. Because I decided that I was gonna go back to school and I was gonna major in Spanish. And my parents, remember I told you, somebody had come to the house and said you shouldn’t be teaching your children Spanish in the home. So the younger ones—  I was at the bottom of the 11 kids— we weren’t— all the older kids spoke Spanish and now we weren’t. So I took the course in Spanish and I studied so hard, and I remember getting an A in the class. And then, in San Francisco, um, I took, I took Psychology. And I knew that I had to study really hard ‘cause I wasn’t getting it. So I thought, “Well, I’m not very smart ‘cause I’m not getting it.” Well now I realize how complex a psychology course can be (laughs). You have to be a mathematician. ",,,
,"So I studied so hard and I thought, “I’m never gonna make it through college ‘cause I have to study so hard.” Well, it was in a class of like 300 people at San Francisco City College and, um, the professor said, “Okay the test scores are out. I’m gonna read. We only have, um, ten A’s in the 300 person class and I’m gonna read the names of the people who got the A’s.” ",,,
,"And I go, “Oh, no. I flunked.” And he read my name as one of the A’s. And I thought, “Oh my God I can’t believe it. How did I do that?” I tried every which way to study. I read notes, I talked to myself out loud, I taped ‘em on a tape recorder and played ‘em while I went to sleep (laughs). ",,,
,"There’s no way I wasn’t gonna get an A in that class! But I realized that I could go to college and I could finish. And that’s how I decided to go to college. And I think it was the beginning of the break-up because he came home one day and he said, “You know what, look at this place.” And he said, “This place is a mess. And look the dishes are in the sink.” And I was so embarrassed. I was just, like, crushed. ‘Cause we never did that at home. Mama never let us do that. We did the dishes, you know? ",,,
,"But, I was studying, so I didn’t do the dishes. Kinda like what happened in the last three months (laughing) that Sonia and I have been working on this project. Everything’s gone to pot! And when he said that, that was the first time I fought back. I said, “Wait a minute. But I’m going to school. I put you through school and now I want to go to school. And so now you’re telling me that I haven’t done the dishes.” So, that was the beginning of the end. Yeah, we were divorced. I was so in shock about the whole divorce that I remember somebody called me up and asked me some questions. I was gonna get the car insurance or something and he asked me what day— what year— I was divorced and I couldn’t remember. And they said, “Oh, God! No wonder you’re divorced!” ",,,
,"I couldn’t remember everything. I was just in a fog. So, I did go back to school. I applied to Foothill College ‘cause we were living in Palo Alto. ‘Cause he had gotten a job in Sunnyvale he was now the Assistant City Attorney at Sunnyvale and he was waiting to get a raise to go to be the CIty Attorney. And it wasn’t happening. So he stayed and stayed and that was the time of the break-up and I didn’t want to move because I didn’t want any disruption for my children. I just wanted everything to seem like it was normal so I stayed right there. But I went to Foothill Community College while my children were little girls. Yeah, so, I guess you could say I walked right straight head-on into the Chicano/Chicana Movement. Yeah. ",,,
,"‘Cause I walked in and I’m like, ah, when I went to college I wore a dress. You didn’t wear jeans. And I was all dressed up going to college and I looked around and everybody was wearing jeans with holes in ‘em even! And I’m like. “What is going on?” And I walked right into this girlfriend and I said, “Hi!” And she was pro— I was thirty— so I guess not quite thirty, maybe twenty-nine and she was probably twenty-two or something. And I wanted to talk to somebody so I saw this Chicana coming toward me, this Mexicana and I wanted to talk to her. She said, “Are you a Chicana?” And I said, “What?” (Laughing) I hadn’t even heard the word before. And I said, “No, but I want to be!” I said, “What’s a Chicana?” So she started telling me. ",,,
,"She said, “We’re back here because we’re fighting for our rights. And we have civil rights too! And we have the right to go to college! And it's just like the African American Civil Rights Movement. We’re part of that struggle. Our parents didn’t go to college for a reason.” And I said, “Oh my God that’s my parents.” You know? And, so she said, “And we’re here to talk about it and to change things.” And that was in 1969. And when she said, “Are you a Chicana?” I said, “No, but I want to be.” (Laughing) I don’t think I said that exactly but I always tell people I said that.",,,
,"So that’s how I started going to college. And, remember I told you how I studied for the Psychology test? I— I was afraid of not getting a good grade. And I hadn’t really done well in History and Biology at San Jose State, so, I studied my face off. And I start— I went to a counselor and I said, “ I want to go to college. I want to graduate.” And she said, “You can.” I said— she said, “Well, where do you want to go?” And I said, “Well, I don’t know.” And she said, “Well, you can go anywhere you want.” Wow. As opposed to that other counselor who told me I could never go to college (laughs).  So she told me I could go anywhere I want. And I just said, “Oh my gosh. My sister told me the best college in California was Stanford.” And she said, “You could go to Stanford.” So I applied to UCSB and Stanford. That’s how I got into Stanford (laughs). So. ",,,
,I, When did you start and Stanford? ,,
,R," As soon as I got my grades and applied and got accepted— oh, oh! I decided I, I, I said, “I’m not gonna chance it this time, I gonna go to the college and go to the admissions office and say, ‘look this is my last chance. I’m not a young person applying here I’m thirty years old and I have two children.” And in those days that wasn’t that popular to be a single mom. I was kinda like an odd one. So I went and talked to them about it and they said, “You, you’re right up there. You’ve got your grades, you’ve got your requirements out of the way. Go ahead and apply.” And so I did and I was accepted, so, yeah. That’s what happened. ",,
,I, What was that like? You were at Stanford in 1970? Is that right?,,
,R," Yeah, I was a transfer student in 1970 and, um, the Chicano Movement was blossoming there as well. Um, the Chicanas and Chicanos at Stanford were, uh, building community and I had gotten a place to live at Escondido Village for families. Well, you couldn’t get into Escondido Village if you weren’t a family, and if you didn’t have a husband you we’re not a family. So I thought I just got into Escondido Village easily, you know? You applied, I got it. Uh uh. Last year, it was my 40th Anniversary at Stanford, I’ll tell you about that later. At Stanford. I went to speak to— I was invited to speak to the MeCHa students with a couple of other people— and the woman who I went with, she was the person that fought for single women to get into Stanford the year before I came. And so there’s a woman behind every movement that’s happening (laughs). And I’ll think of her name in a minute. Uh, she won the award last year for um— the Multicultural Award at Stanford. And she’s a judge and an attorney. And she has an amazing story. Well, I got to be on the MeCHa panel with her and two other people. And, I said I did not know it was because of you that I got into Escondido Village with my two daughters. They were raised there and that’s how I was able to go to school. Yeah. ",,
,I," Now, was this the time when— was there already Chicano— a Centro Chicano and a Casa Zapata, or was that yet to come?",,
,R," No, we— that’s yet to come. That’s what we did there. Yes. We started it. And, um, similar to what they were doing at San Diego State. And they called theirs Centro de Estudios—Estudio— am I saying it right?",,
,I, Yeah. Estudios Chicanos. ,,
,R," Centro de Estudios Chicanos. Yeah. Well, uh, they wanted it to be community-oriented at San Diego State. We were doing the same thing. We were trying to get a community-oriented program going. So we had MeCH— we didn’t meet— I was in MeCHa. I was a MeCHa student. But we did meet just in MeCHa. We met with MeCHa, the Chicano faculty, the Chicano staff. We were Chicano community. That’s what our meetings were called. They were called Chicano Community. And when we met it was a room full of people that were faculty, staff, and, uh, MeCHa students. So that was our organization. And, so, we—right away talked about issues. And I think I was invited because I was older. I was invited by Arturo Islas, Professor Arturo Islas, to be on the committee. It was called the Assistant to the President for Chicano Affairs. And what that was was, um, an advisory to the president of the university. We were the advisory to the president of the university. ‘Cause he had not a clue who Chicanos and Chicanas were so, yeah. ",,
,I," And there was a big push at that time to get more Chicano students at Stanford. So you were part of that wave, ‘cause I know it was in ’69-’70 and I think ’71 where the numbers just shot up. ",,
,R," Yes. Yes, its called recruitment. So we, we had to articulate what was important to us as a community as we sat in our circle. And we called it, um, recruitment of Chicano students, recruitment of Chicano faculty, and, uh, this was our dem— we had demands that we had. And, so, we wrote the demands down and this is what we wanted to be. We wanted to have more courses. Chi— uh, Arturo Islas probably taught the first course there, Chicano Literature and English. Um, I took his classes because I was an English major and, uh, I have to confess I fell in love (laughs). I was in love with Arturo Islas. ",,
,"I just thought sure that he was in love with me and that we were gonna get married (laughs). Oh, my gosh I remember, oh my gosh, I remember he invited us all over to dinner to his house. He was living in San Francisco, he wasn’t living in Palo Alto. And I said— and he said he had a roommate. He was living there with his roommate but when we went his roommate wasn’t there. And so, and my heart was pitter-pattering. Uh, when I said I thought he was in love with me, that’s a gross exaggeration. I was in love with him (laughs). And everyone was saying, “Rita you can meet someone again. You can fall in love again.” ",,,
,"‘Cause I said, “Well, I can’t ‘cause Catholics can’t get remarried.” And they said, “Everything’s changing.” So, I picked out Arturo to be my next husband (laughs). So, luckily, nothing happened ‘cause he already had love in his life. And he invited us to San Francisco to eat dinner one day and he— I said, “He said he had a roommate but there’s only one— he only has one bedroom and there’s only one little bed in the room.” And I was so naive, I didn’t know what was going on. But Arturo had had a, and it’s public knowledge now, and it's also in his archives, which I’ve studied  his archives. I cried through the whole thing because it’s a heartbreak. But he, uh, he did have a relationship and it was with another man, it wasn’t with another woman. And I was ready to find out who this other woman was and I was gonna go kick her butt (laughing) ‘cause I was in love with Arturo Islas. So that’s another heartbreak in my life. My second love was Arturo. ",,,
,"So, yes, he has a sad story because, um, yeah, he had lots of health problems even before he passed away in ’80. So, yeah. So I started right away at the Assistant to the President for Chicano Affairs. Thrown into it. The work’s there, you’ve gotta do the work, somebody’s gotta do it, and you’re the one to do it. That’s how you become an activist. ",,,
,I, And how long were you there at Stanford?,,
,R," I was actually there for four years because I got my Bachelor’s degree in two years because I was a transfer student and then we had Chicano graduation which was amazing. And I remember I was so moved by it. Everybody— we all gave our diplomas to our parents. We passed our diplomas to our parents. And I’m really happy that that happened. And, um, I had to get a job because I was— my husband that was no longer with me was a lawyer and had a job and I was not working. And now I had to figure out what to do and that’s why I went back to college. I wanted to get a job and I figured the best thing I could do was become a teacher. And I wanted to become a Spanish teacher but when it got into the course— the reading literature, I didn’t know what was going on. It was so difficult for me. I had to change my major. And because I loved literature, I changed it. Literature in those days was called English Literature until the movement. And then at Stanford I read Malcolm X. And, uh, I read, uh, Richard Wright and I read, uh, Ralph Ellison. And they were, you know, all the male authors. ",,
,"And there was a women’s movement too and I started reading Virginia Woolf. I started reading A Room of Your Own, I started reading all of the feminist literature and pretty soon, Chicano literature. And so, what I did is I entered a program called the Step Program at Stanford. And it's still alive and well if anyone wants to know about it. You get your Master’s Degree and your teaching credential all in a year. And you, uh, get, you can get the Master’s Degree in Education. Well, studying Education for me was like the secretarial course. My mind was the mind of a poet I couldn’t— I just couldn’t do it. So, I did get the Master’s Degree though and I did teach. I started student teaching and I started teaching, uh, English in a middle school. And it was very painful for me. It was very difficult. ‘Cause what I was basically doing was trying to help young teenagers. But my head was kind of in another place. So, I went back to Stanford another year and I got my Master’s Degree in the field so I could teach Literature. So I ended up with a Master’s Degree in Literature at Stanford. ",,,
,I," And you were there between, uh, ’70 and ’74.",,
,R," ’74, yeah. And all of this is, believe me, not just studying literature. This is the Civil Rights Movement. I mean, I remember moving barricades so that the military industrial complex, we used to call it (laughs), wouldn’t come in and give a speech to the students and try and recruit them into the war. And we put barricades up and I physically moved barricades. I mean, I’m sort of embarrassed to say this in front of my children but I actually graffitied walls and it was against the law to do that (laughing). And I was a mother with two children, so, uh, yeah. It was the Civil Rights Movement at it’s peak at Stanford. It was the women’s, um, the women’s— what is it? Tell me, somebody.",,
,I, Women’s Liberation?,,
,R, Yes. And the law that was passed in 197— ,,
,I, The ERA?,,
,R," The ERA in 1972. I was part of that. I was part of all those movements happening. And, uh, and then I had to get a job. And, so, what happened when I got my Master’s Degree is I was invited to, uh, teach at Cañada Community College. And, uh, so I did. So I started teaching there. And, uh, there was a guy there that stalked me a little bit. I say a little bit because I was terrified to go to work there. He was an ex, uh, prisoner. Ah, I’ve never talked about this before. And he saw me and then he started— I wouldn’t talk to him because I guess that’s how I was trained, you know, if some guy’s flirting with you just walk right on by, you know? So that’s what I did. And he— I guess I hurt his feelings— ‘cause he stalked me and he— at every time there was a meeting he started saying things about me without using my name. ",,
,"He started saying, “You know there are certain people that are teaching in this department that are stuck-up.” And then I found out that he was a pretty rough guy. That he was in there. ‘Cause we were a community at the— we called them “the pintos”. That  meant the people that were in prison too because it was by, uh, what’s that term that we used? We were called ‘political prisoners” and I included my own family in it because I thought, “No, they were imprisoned because they were unjustly arrested.” So that’s the mentality that we had. So that’s— we had higher consciousness in that respect but this guy I found out was, uh, a drug addict that had a— he was actually in there for murder. He killed his wife. ",,,
,"I don’t remember his name. That’s okay. I don’t want to but I was afraid to teach at Cañada College. I was afraid I’d run into him again. So, um, Alurista came into town. I was in a course— I was in a comparative literature course with a pro— his name was Professor Girard and I couldn’t believe, he came up to me and said, “You know, “ he said, “I’m having two poets come this week"," Ernesto Cardenal. Do you know who he is?”  Yeah. “Ernesto Cardenal and Alurista.” He said, “Would you mind picking up Alurista from the airport?” And I said, “Okay.” And that was a big deal for me ‘cause I didn’t drive a lot. I was kind of shy about that. But I had to go to the airport and pick up this guy called Alurista and that’s how I met Alurista. ",,
,I, And he was from San Diego. He was—,,
,R," And he was from San Diego. So, milagro number … what? What? Milagro number ten?",,
,I, (Laughs).,,
,R," (Laughs). Yeah, so, this miracle was meeting Alurista. He, uh, yes. I said, “You know I’m just looking for a job right now. I’m graduating, uh, this year with my Master’s in English and I have to find a job.” And he said, “Well, I know about a job.” And he told me the whole story about what was going on in San Diego. He said, “Oh my gosh there’s a big upheaval going on in San Diego right now.” And he said, “And we’re all leaving ‘cause we wanted to form the Cen— keep going with the Centro de Estudios but they are forming the, uh, either the College of Professional Studies or College of Arts and Letters and the college, you have to be either part of a department and then a college and you have to get your PhD.” And I said, “Oh my gosh, I’ve got two children. I can’t do that.” And he said, “Well, you should go down and look into it and everything.” He said, “Right now they’re trying to find people. And you’re teaching English. They probably need an English teacher.” ",,
